,tournament_index,round,players,result
0,0,Quarter-finals,[1] Tayyab Aslam (PAK) bt Farhan Hashmi (PAK),"7-11, 11-9, 11-5, 11-5 (32m)"
1,0,Quarter-finals,[7] Israr Ahmed (PAK) bt [9/16] Waqas Mehboob (PAK),"11-3, 11-3, 11-8 (23m)"
2,0,Quarter-finals,[4] Amaad Fareed (PAK) bt [5] Farhan Zaman (PAK),"11-8, 11-7, 12-10 (25m)"
3,0,Quarter-finals,[9/16] Nasir Iqbal (PAK) bt [2] Asim Khan (PAK),"11-9, 11-2, 7-11, 11-5 (42m)"
4,0,2nd round,[1] Tayyab Aslam (PAK) bt [9/16] Noor Zaman (PAK),"11-1, 11-9, 11-9 (25m)"
5,0,2nd round,Farhan Hashmi (PAK) bt [8] Zahir Shah (PAK),"11-2, 11-7, 11-7 (23m)"
6,0,2nd round,[7] Israr Ahmed (PAK) bt [9/16] Syed Ali Mujtaba Shah Bokhari (PAK),"11-8, 11-5, 11-7 (29m)"
7,0,2nd round,[9/16] Waqas Mehboob (PAK) bt [3] Farhan Mehboob (PAK),"11-8, 11-9, 11-7 (24m)"
8,0,2nd round,[4] Amaad Fareed (PAK) bt [9/16] Muhammad Bilal (ITA),"9-11, 11-7, 11-8, 11-2 (26m)"
9,0,2nd round,[5] Farhan Zaman (PAK) bt [9/16] Haris Qasim (PAK),"11-7, 11-4, 11-8 (26m)"
10,0,2nd round,[9/16] Nasir Iqbal (PAK) bt [6] Danish Atlas Khan (PAK),"11-2, 12-10, 11-5 (23m)"
11,0,2nd round,[2] Asim Khan (PAK) bt [WC] Zeeshan Zeb (PAK),"11-7, 11-7, 11-7 (35m)"
12,0,1st round,[1] Tayyab Aslam (PAK),bye
13,0,1st round,[9/16] Noor Zaman (PAK) bt [WC] Hamza Khan (PAK),"11-9, 11-9, 11-8 (26m)"
14,0,1st round,Farhan Hashmi (PAK) bt [9/16] Naveed Rehman (PAK),"11-1, 11-4, 11-4 (12m)"
15,0,1st round,[8] Zahir Shah (PAK),bye
16,0,1st round,[7] Israr Ahmed (PAK),bye
17,0,1st round,[9/16] Syed Ali Mujtaba Shah Bokhari (PAK) bt Bilal Zakir (PAK),"11-7, 11-7, 9-11, 9-11, 11-7 (52m)"
18,0,1st round,[9/16] Waqas Mehboob (PAK) bt Muhammad Farhan (PAK),"11-9, 11-4, 11-9 (18m)"
19,0,1st round,[3] Farhan Mehboob (PAK),bye
20,0,1st round,[4] Amaad Fareed (PAK),bye
21,0,1st round,[9/16] Muhammad Bilal (ITA) bt Muhammad Abdul Qadir (PAK),"7-11, 11-4, 11-5, 10-12, 11-8 (36m)"
22,0,1st round,[9/16] Haris Qasim (PAK) bt Salman Saleem (PAK),"11-9, 11-6, 11-9 (39m)"
23,0,1st round,[5] Farhan Zaman (PAK),bye
24,0,1st round,[6] Danish Atlas Khan (PAK),bye
25,0,1st round,[9/16] Nasir Iqbal (PAK) bt [WC] Hamza Sharif (PAK),"16-14, 6-11, 11-7, 11-7 (46m)"
26,0,1st round,[WC] Zeeshan Zeb (PAK) bt [9/16] Saeed Abdul (PAK),"11-9, 11-4, 9-11, 11-8 (36m)"
27,0,1st round,[2] Asim Khan (PAK),bye
28,1,Final,[2] Dimitri Steinmann (SUI) bt [1] Nicolas Müller (SUI),"9-11, 11-2, 11-9, 11-7 (64m)"
29,1,Semi-finals,[1] Nicolas Müller (SUI) bt [3] Robin Gadola (SUI),"11-5, 11-2, 11-5 (25m)"
30,1,Semi-finals,[2] Dimitri Steinmann (SUI) bt [4] Cédric Kuchen (SUI),"11-8, 11-6, 11-3 (41m)"
31,1,Quarter-finals,[1] Nicolas Müller (SUI) bt [5] Yannick Wilhelmi (SUI),"11-4, 11-6, 11-5 (24m)"
32,1,Quarter-finals,[3] Robin Gadola (SUI) bt [8] Nils Roesch (SUI),"11-9, 11-6, 8-11, 11-9 (42m)"
33,1,Quarter-finals,[4] Cédric Kuchen (SUI) bt [7] Miguel Mathis (SUI),"11-5, 11-3, 11-8 (32m)"
34,1,Quarter-finals,[2] Dimitri Steinmann (SUI) bt [9/16] Jakob Känel (SUI),"11-2, 11-5, 11-2 (20m)"
35,1,2nd round,[1] Nicolas Müller (SUI) bt [9/16] Sven Stettler (SUI),"11-4, 11-8, 11-7 (21m)"
36,1,2nd round,[5] Yannick Wilhelmi (SUI) bt [WC] Joel Siewerdt (SUI),"12-10, 9-11, 11-5, 9-11, 11-2 (50m)"
37,1,2nd round,[8] Nils Roesch (SUI) bt Lukas Burkhart (SUI),"9-11, 11-3, 11-4, 11-3 (34m)"
38,1,2nd round,[3] Robin Gadola (SUI) bt [9/16] David Bernet (SUI),"11-2, 11-3, 6-11, 11-1 (33m)"
39,1,2nd round,[4] Cédric Kuchen (SUI) bt [9/16] Andreas Dietzsch (SUI),"11-7, 11-4, 12-10 (32m)"
40,1,2nd round,[7] Miguel Mathis (SUI) bt [9/16] Luca Zatti (SUI),"8-11, 6-11, 11-7, 11-4, 11-6 (51m)"
41,1,2nd round,[9/16] Jakob Känel (SUI) bt [6] Amadeo Costa (SUI),"11-4, 11-5, 11-5 (19m)"
42,1,2nd round,[2] Dimitri Steinmann (SUI) bt [9/16] Roman Allinckx (SUI),"10-12, 11-4, 11-6, 11-5 (41m)"
43,1,1st round,[1] Nicolas Müller (SUI),bye
44,1,1st round,[9/16] Sven Stettler (SUI) bt Noah Mannhart (SUI),"11-5, 11-4, 11-6 (22m)"
45,1,1st round,[WC] Joel Siewerdt (SUI) bt [9/16] Louai Hafez (SUI),"6-11, 11-4, 11-4, 11-9 (44m)"
46,1,1st round,[5] Yannick Wilhelmi (SUI),bye
47,1,1st round,[8] Nils Roesch (SUI),bye
48,1,1st round,Lukas Burkhart (SUI) bt [9/16] Jan Kurzmeyer (SUI),"11-6, 11-6, 11-5 (30m)"
49,1,1st round,[9/16] David Bernet (SUI) bt [WC] Michael Muller (SUI),"9-11, 11-1, 11-6, 11-0 (25m)"
50,1,1st round,[3] Robin Gadola (SUI),bye
51,1,1st round,[4] Cédric Kuchen (SUI),bye
52,1,1st round,[9/16] Andreas Dietzsch (SUI) bt [WC] Iain Keeling (SUI),"11-7, 11-4, 11-6 (24m)"
53,1,1st round,[9/16] Luca Zatti (SUI) bt [WC] Silvan Oertli (SUI),"11-5, 11-4, 11-2 (17m)"
54,1,1st round,[7] Miguel Mathis (SUI),bye
55,1,1st round,[6] Amadeo Costa (SUI),bye
56,1,1st round,[9/16] Jakob Känel (SUI) bt Christoph Zust (SUI),"8-11, 11-4, 11-4, 11-4 (39m)"
57,1,1st round,[9/16] Roman Allinckx (SUI) bt [WC] Mark Brunner (SUI),"11-5, 11-3, 11-6 (18m)"
58,1,1st round,[2] Dimitri Steinmann (SUI),bye
59,2,Final,[1] Tayyab Aslam (PAK) bt [2] Asim Khan (PAK),"11-2, 8-11, 11-3, 11-7 (37m)"
60,2,Semi-finals,[1] Tayyab Aslam (PAK) bt [3] Amaad Fareed (PAK),"11-6, 14-12, 11-8 (31m)"
61,2,Semi-finals,[2] Asim Khan (PAK) bt [5] Danish Atlas Khan (PAK),"11-9, 11-6, 11-2 (28m)"
62,2,Quarter-finals,[1] Tayyab Aslam (PAK) bt Nasir Iqbal (PAK),"11-7, 6-11, 11-13, 12-10, 12-10 (79m)"
63,2,Quarter-finals,[3] Amaad Fareed (PAK) bt [7] Zahir Shah (PAK),"11-8, 10-12, 11-9, 11-7 (30m)"
64,2,Quarter-finals,[5] Danish Atlas Khan (PAK) bt [4] Farhan Zaman (PAK),"11-8, 11-2, 11-4 (17m)"
65,2,Quarter-finals,[2] Asim Khan (PAK) bt [8] Waqas Mehboob (PAK),"11-4, 11-8, 11-9 (24m)"
66,2,1st round,[1] Tayyab Aslam (PAK) bt Muhammad Farhan (PAK),"11-2, 11-6, 11-4"
67,2,1st round,Nasir Iqbal (PAK) bt [6] Israr Ahmed (PAK),"11-7, 11-5, 11-5"
68,2,1st round,[7] Zahir Shah (PAK) bt [WC] Waqar Khan (PAK),"11-6, 12-14, 11-9, 11-4"
69,2,1st round,[3] Amaad Fareed (PAK) bt Saeed Abdul (PAK),"11-3, 11-5, 11-9"
70,2,1st round,[4] Farhan Zaman (PAK) bt Syed Ali Mujtaba Shah Bokhari (PAK),"9-11, 4-11, 11-6, 11-7, 11-5 (39m)"
71,2,1st round,[5] Danish Atlas Khan (PAK) bt Naveed Rehman (PAK),"11-0, 11-3, 11-3 (13m)"
72,2,1st round,[8] Waqas Mehboob (PAK) bt Muhammad Bilal (ITA),"7-11, 11-3, 11-4, 11-5 (29m)"
73,2,1st round,[2] Asim Khan (PAK) bt Noor Zaman (PAK),"11-13, 11-4, 9-11, 11-7, 11-9 (41m)"
74,3,Final,[1] Nicolas Müller (SUI) bt [2] Dimitri Steinmann (SUI),"11-4, 11-6, 11-6 (39m)"
75,3,Semi-finals,[1] Nicolas Müller (SUI) bt [4] Robin Gadola (SUI),"11-4, 11-9, 7-11, 15-13 (44m)"
76,3,Semi-finals,[2] Dimitri Steinmann (SUI) bt [6] Yannick Wilhelmi (SUI),"13-11, 11-8, 11-13, 11-4 (57m)"
77,3,Quarter-finals,[1] Nicolas Müller (SUI) bt [5] Cédric Kuchen (SUI),"11-7, 11-5, 11-3"
78,3,Quarter-finals,[4] Robin Gadola (SUI) bt [8] Nils Roesch (SUI),"11-3, 9-11, 11-8, 11-1"
79,3,Quarter-finals,[6] Yannick Wilhelmi (SUI) bt [3] Aqeel Rehman (AUT),"11-6, 5-11, 11-9, 11-9"
80,3,Quarter-finals,[2] Dimitri Steinmann (SUI) bt [7] Miguel Mathis (SUI),"12-10, 11-9, 12-10 (48m)"
81,3,2nd round,[1] Nicolas Müller (SUI) bt [9/16] David Maier (LIE),"11-7, 11-6, 11-1"
82,3,2nd round,[5] Cédric Kuchen (SUI) bt [9/16] Lukas Windischberger (AUT),"11-5, 11-5, 11-8"
83,3,2nd round,[8] Nils Roesch (SUI) bt [9/16] Luca Zatti (SUI),"13-11, 11-8, 11-3"
84,3,2nd round,[4] Robin Gadola (SUI) bt [9/16] Jakob Dirnberger (AUT),"11-8, 11-4, 11-2"
85,3,2nd round,[3] Aqeel Rehman (AUT) bt [9/16] Jakob Känel (SUI),"5-11, 11-5, 11-4, 11-4"
86,3,2nd round,[6] Yannick Wilhelmi (SUI) bt [9/16] Sven Stettler (SUI),"11-6, 11-4, 11-1"
87,3,2nd round,[7] Miguel Mathis (SUI) bt [WC] Patrick Miescher (SUI),"11-5, 12-10, 11-9"
88,3,2nd round,[2] Dimitri Steinmann (SUI) bt [9/16] Andreas Dietzsch (SUI),"11-6, 11-1, 11-6"
89,3,1st round,[1] Nicolas Müller (SUI),bye
90,3,1st round,[9/16] David Maier (LIE) bt Noah Mannhart (SUI),"11-4, 11-5, 11-2"
