,tournament_index,round,players,result
0,0,2nd round,[1] Nour El Sherbini (EGY) bt Sabrina Sobhy (USA),"16-14, 11-8, 11-5 (32m)"
1,0,2nd round,[6] Amanda Sobhy (USA) bt [15] Nadine Shahin (EGY),"11-5, 11-3, 11-1 (21m)"
2,0,2nd round,[8] Tesni Evans (WAL) bt [12] Olivia Clyne (USA),"13-11, 11-6, 5-11, 7-11, 11-7 (62m)"
3,0,2nd round,[4] Hania El Hammamy (EGY) bt [11] Nele Gilis (BEL),"12-10, 12-10, 11-13, 9-11, 11-3 (89m)"
4,0,2nd round,[3] Camille Serme (FRA) bt [16] Tinne Gilis (BEL),"11-8, 11-6, 11-7 (30m)"
5,0,2nd round,[5] Sarah-Jane Perry (ENG) bt [10] Joshna Chinappa (IND),"11-7, 12-14, 11-2, 11-5 (41m)"
6,0,2nd round,[7] Joelle King (NZL) bt Hollie Naughton (CAN),"11-9, 11-2, 11-9 (30m)"
7,0,2nd round,[2] Nouran Gohar (EGY) bt [14] Alison Waters (ENG),"9-11, 11-6, 8-11, 11-8, 14-12 (67m)"
8,0,1st round,[1] Nour El Sherbini (EGY) bt Zeina Mickawy (EGY),"11-4, 11-3, 11-9 (22m)"
9,0,1st round,Sabrina Sobhy (USA) bt [9] Salma Hany (EGY),"11-8, 13-11, 4-11, 6-11, 11-9 (59m)"
10,0,1st round,[15] Nadine Shahin (EGY) bt Haley Mendez (USA),"10-12, 11-6, 11-3, 11-3 (33m)"
11,0,1st round,[6] Amanda Sobhy (USA) bt Olivia Fiechter (USA),"11-8, 11-7, 11-5 (29m)"
12,0,1st round,[8] Tesni Evans (WAL) bt Lucy Turmel (ENG),"6-11, 12-10, 11-8, 11-4 (52m)"
13,0,1st round,[12] Olivia Clyne (USA) bt Mariam Metwally (EGY),"8-11, 11-5, 11-8, 11-8 (40m)"
14,0,1st round,[11] Nele Gilis (BEL) bt Nada Abbas (EGY),"13-11, 11-6, 11-5 (38m)"
15,0,1st round,[4] Hania El Hammamy (EGY) bt Danielle Letourneau (CAN),"11-6, 12-10, 11-3 (32m)"
16,0,1st round,[3] Camille Serme (FRA) bt Melissa Alves (FRA),"11-7, 11-7, 11-3 (33m)"
17,0,1st round,[16] Tinne Gilis (BEL) bt Millie Tomlinson (ENG),11-5 ret. (7m)
18,0,1st round,[10] Joshna Chinappa (IND) bt Julianne Courtice (ENG),"10-12, 11-6, 11-9, 12-10 (50m)"
19,0,1st round,[5] Sarah-Jane Perry (ENG) bt Emily Whitlock (ENG),"11-4, 9-11, 11-6, 11-13, 11-9 (55m)"
20,0,1st round,[7] Joelle King (NZL) bt Donna Lobban (AUS),"11-6, 11-6, 4-11, 5-11, 11-8 (54m)"
21,0,1st round,Hollie Naughton (CAN) bt [13] Rowan Elaraby (EGY),"8-11, 11-6, 11-8, 11-7 (40m)"
22,0,1st round,[14] Alison Waters (ENG) bt [WC] Menna Nasser (EGY),"11-4, 11-5, 11-3 (23m)"
23,0,1st round,[2] Nouran Gohar (EGY) bt Farida Mohamed (EGY),"9-11, 8-11, 11-5, 11-8, 16-14 (57m)"
24,1,Quarter-finals,[1] Amna Fayyaz (PAK) bt [5] Anam Mustafa Aziz (PAK),"11-4, 11-5, 11-7 (16m)"
25,1,Quarter-finals,[3] Madina Zafar (PAK) bt [6] Saima Shoukat (PAK),"11-8, 13-11, 11-4 (27m)"
26,1,Quarter-finals,[4] Moqaddas Ashraf (PAK) bt [8] Noor Ul Huda (PAK),"11-8, 11-9, 11-3 (17m)"
27,1,Quarter-finals,[2] Faiza Zafar (PAK) bt [7] Rushna Mehboob (PAK),"11-5, 11-5, 11-4 (17m)"
28,1,1st round,[1] Amna Fayyaz (PAK) bt Zaynab Khan (PAK),"11-7, 7-11, 11-7, 11-4 (27m)"
29,1,1st round,[5] Anam Mustafa Aziz (PAK) bt Ilsa Imran (PAK),"12-10, 11-6, 11-4 (16m)"
30,1,1st round,[6] Saima Shoukat (PAK) bt Noor Ul Ain Ijaz (PAK),"11-4, 11-9, 14-12 (18m)"
31,1,1st round,[3] Madina Zafar (PAK) bt Noorena Shams (PAK),"11-3, 11-5, 11-3 (8m)"
32,1,1st round,[4] Moqaddas Ashraf (PAK) bt Aiman Shahbaz (PAK),"11-5, 8-11, 11-7, 11-4 (26m)"
33,1,1st round,[8] Noor Ul Huda (PAK) bt Fehmina Asim (PAK),"11-3, 11-5, 11-6 (12m)"
34,1,1st round,[7] Rushna Mehboob (PAK) bt Nimra Aqeel (PAK),"11-3, 11-6, 11-7 (19m)"
35,1,1st round,[2] Faiza Zafar (PAK) bt [WC] Sadia Gul (PAK),"11-6, 11-4, 9-11, 11-5 (19m)"
36,2,Final,[3] Ambre Allinckx (SUI) bt [1] Cindy Merlo (SUI),"7-11, 11-7, 11-9, 12-10 (40m)"
37,2,Semi-finals,[1] Cindy Merlo (SUI) bt [4] Celine Walser (SUI),"11-8, 11-9, 13-11 (27m)"
38,2,Semi-finals,[3] Ambre Allinckx (SUI) bt [2] Nadia Pfister (SUI),"11-8, 14-16, 7-11, 11-9, 11-3 (46m)"
39,2,Quarter-finals,[1] Cindy Merlo (SUI) bt [8] Cassandra Fitze (SUI),"11-6, 13-11, 11-5 (23m)"
