,index,tournament_type,name,location,date,url,matches_downloaded
0,0,World Tour Gold,CIB Black Ball Open (W),"Cairo, Egypt",12 Dec 2020,http://www.squashinfo.com/events/8588-womens-black-ball-open-2020,True
1,1,Challenger Tour 5,Pakistan International Championship (W),"Islamabad, Pakistan",11 Dec 2020,http://www.squashinfo.com/events/8605-womens-pakistan-international-championship-2020,True
2,2,Challenger Tour 10,Sihltal Classic (W),"Langnau am Albis, Switzerland",6 Dec 2020,http://www.squashinfo.com/events/8604-womens-sihltal-classic-2020,True
3,3,Challenger Tour 5,BISL International (W),"Quetta, Pakistan",28 Nov 2020,http://www.squashinfo.com/events/8595-womens-bisl-international-2020,True
4,4,Challenger Tour 10,Liechtenstein Open (W),"Vaduz, Liechtenstein",22 Nov 2020,http://www.squashinfo.com/events/8589-womens-liechtenstein-open-2020,True
5,5,World Tour Platinum,CIB Egyptian Open (W),"Giza, Egypt",17 Oct 2020,http://www.squashinfo.com/events/8565-womens-egyptian-open-2020,True
6,6,World Tour Finals,CIB PSA World Tour Finals (W),"6th of October City, Egypt",3 Oct 2020,http://www.squashinfo.com/events/8563-womens-world-tour-finals-2020,True
7,7,World Tour Silver,Manchester Open (W),"Manchester, England",22 Sep 2020,http://www.squashinfo.com/events/8561-womens-manchester-open-2020,True
8,8,Challenger Tour 20,Queen City Open (W),"Regina, Canada",15 Mar 2020,http://www.squashinfo.com/events/8545-womens-queen-city-open-2020,True
9,9,World Tour Platinum,CIB Black Ball Open (W),"Cairo, Egypt",14 Mar 2020,http://www.squashinfo.com/events/8390-womens-black-ball-open-2020,True
10,10,Challenger Tour 20,CFO Consulting Services PSA Calgary Squash Week Open (W),"Calgary, Canada",8 Mar 2020,http://www.squashinfo.com/events/8538-womens-calgary-squash-week-open-2020,True
11,11,World Tour Platinum,Windy City Open presented by the Walter Family (W),"Chicago, USA",4 Mar 2020,http://www.squashinfo.com/events/8388-womens-windy-city-open-2020,True
12,12,Challenger Tour 5,Egyptian Tour No4 (W),"Alexandria, Egypt",28 Feb 2020,http://www.squashinfo.com/events/8534-womens-egyptian-tour-2020,True
13,13,World Tour Bronze,Bahl & Gaynor Cincinnati Cup (W),"Cincinnati, Ohio, USA",24 Feb 2020,http://www.squashinfo.com/events/8385-womens-cincinnati-cup-2020,True
14,14,Challenger Tour 20,Racquet Club Pro Series (W),"St Louis, Missouri, USA",8 Feb 2020,http://www.squashinfo.com/events/8459-womens-racquet-club-pro-series-2020,True
15,15,World Tour Bronze,Cleveland Classic (W),"Cleveland, Ohio, USA",3 Feb 2020,http://www.squashinfo.com/events/8381-womens-cleveland-classic-2020,True
16,16,Challenger Tour 20,Edinburgh Sports Club Open (W),"Edinburgh, Scotland",2 Feb 2020,http://www.squashinfo.com/events/8451-womens-edinburgh-sports-club-open-2020,True
17,17,Challenger Tour 10,EM Noll Classic (W),"Philadelphia, USA",2 Feb 2020,http://www.squashinfo.com/events/8454-womens-em-noll-classic-2020,True
18,18,Challenger Tour 10,Savcor Finnish Open (W),"Mikkeli, Finland",2 Feb 2020,http://www.squashinfo.com/events/8452-womens-finnish-open-2020,True
19,19,Challenger Tour 10,SRFI Indian Tour Jaipur Leg (W),"Jaipur, India",2 Feb 2020,http://www.squashinfo.com/events/8456-womens-srfi-indian-tour-2020,True
20,0,Challenger Tour 10,Seattle Open (W),"Seattle, USA",1 Feb 2020,http://www.squashinfo.com/events/8450-womens-seattle-open-2020,True
21,1,World Tour Bronze,Carol Weymuller Open (W),"New York, USA",27 Jan 2020,http://www.squashinfo.com/events/8380-womens-carol-weymuller-open-2020,True
22,2,World Tour Platinum,JP Morgan Tournament of Champions (W),"New York, USA",17 Jan 2020,http://www.squashinfo.com/events/8368-womens-tournament-of-champions-2020,True
23,3,Challenger Tour 5,CIB Egyptian Tour (W),"Nasr City, Egypt",27 Dec 2019,http://www.squashinfo.com/events/8377-womens-egyptian-tour-2019,True
24,4,Challenger Tour 10,SRFI Indian Tour Mumbai Leg (W),"Mumbai, India",21 Dec 2019,http://www.squashinfo.com/events/8374-womens-srfi-indian-tour-2019,True
25,5,Challenger Tour 10,Serena Hotels-Huawei Pakistan International Championship (W),"Islamabad, Pakistan",19 Dec 2019,http://www.squashinfo.com/events/8370-womens-pakistan-international-championship-2019,True
26,6,Challenger Tour 20,Monte Carlo Classic (W),"Monte Carlo, Monaco",13 Dec 2019,http://www.squashinfo.com/events/8361-womens-monte-carlo-classic-2019,True
27,7,Challenger Tour 5,Chongqing International Classic (W),"Chongqing, China",1 Dec 2019,http://www.squashinfo.com/events/8352-womens-chongqing-international-classic-2019,True
28,8,Challenger Tour 5,Capra Baerum Open (W),"Lysaker, Norway",24 Nov 2019,http://www.squashinfo.com/events/8345-womens-capra-baerum-open-2019,True
29,9,Challenger Tour 10,London Open (W),"London, England",24 Nov 2019,http://www.squashinfo.com/events/8340-womens-london-open-2019,True
30,10,Challenger Tour 5,Val de Marne Open (W),"Creteil, France",16 Nov 2019,http://www.squashinfo.com/events/8330-womens-val-de-marne-open-2019,True
31,11,Challenger Tour 5,Pacific Toyota Cairns International (W),"Cairns, Australia",10 Nov 2019,http://www.squashinfo.com/events/8329-womens-cairns-international-2019,True
32,12,Challenger Tour 30,Detroit Pro Classic (W),"Detroit, USA",9 Nov 2019,http://www.squashinfo.com/events/8326-womens-detroit-pro-classic-2019,True
33,13,Challenger Tour 10,JC Open (W),"Ottawa, Canada",3 Nov 2019,http://www.squashinfo.com/events/8319-womens-jc-open-2019,True
34,14,Challenger Tour 5,Queensland Open (W),"Brisbane, Australia",3 Nov 2019,http://www.squashinfo.com/events/8321-womens-queensland-open-2019,True
35,15,World Championship,CIB PSA World Championship (W),"Giza, Egypt",1 Nov 2019,http://www.squashinfo.com/events/8068-womens-world-championship-2019,True
36,16,Challenger Tour 10,SRFI Indian Tour Chennai Leg (W),"Chennai, India",17 Oct 2019,http://www.squashinfo.com/events/8310-womens-srfi-indian-tour-2019,True
37,17,World Tour Platinum,FS Investments US Open (W),"Philadelphia, USA",12 Oct 2019,http://www.squashinfo.com/events/8307-womens-us-open-2019,True
38,18,Challenger Tour 5,CIB Port Said Egyptian Tour (W),"Port Said, Egypt",6 Oct 2019,http://www.squashinfo.com/events/8305-womens-egyptian-tour-2019,True
39,19,World Tour Gold,Oracle NetSuite Open (W),"San Francisco, USA",30 Sep 2019,http://www.squashinfo.com/events/8288-womens-netsuite-open-2019,True
40,0,Challenger Tour 5,Haining Open (W),"Haining, China",29 Sep 2019,http://www.squashinfo.com/events/8302-womens-haining-open-2019,True
41,1,Challenger Tour 20,Malaysian Open (W),"Kuala Lumpur, Malaysia",29 Sep 2019,http://www.squashinfo.com/events/8297-womens-malaysian-open-2019,True
42,2,Challenger Tour 5,Aspin Cup (W),"Charlottetown, Canada",28 Sep 2019,http://www.squashinfo.com/events/8299-womens-aspin-cup-2019,True
43,3,Challenger Tour 5,China Suqian International Classic (W),"Suqian, China",22 Sep 2019,http://www.squashinfo.com/events/8293-womens-china-suqian-international-classic-2019,True
44,4,Challenger Tour 20,NASH Cup (W),"London, Ontario, Canada",21 Sep 2019,http://www.squashinfo.com/events/8286-womens-nash-cup-2019,True
45,5,Challenger Tour 30,PSA HKFC International (W),"Happy Valley, Hong Kong",14 Sep 2019,http://www.squashinfo.com/events/8283-womens-hkfc-international-2019,True
