,index,tournament_type,name,location,date,url,matches_downloaded
0,0,Challenger Tour 10,Pakistan International Championship (M),"Islamabad, Pakistan",11 Dec 2020,http://www.squashinfo.com/events/713-mens-pakistan-international-championship-2020,True
1,1,Challenger Tour 10,Sihltal Classic (M),"Langnau am Albis, Switzerland",6 Dec 2020,http://www.squashinfo.com/events/8603-mens-sihltal-classic-2020,True
2,2,Challenger Tour 10,BISL International (M),"Quetta, Pakistan",28 Nov 2020,http://www.squashinfo.com/events/8594-mens-bisl-international-2020,True
3,3,Challenger Tour 10,Liechtenstein Open (M),"Vaduz, Liechtenstein",22 Nov 2020,http://www.squashinfo.com/events/8587-mens-liechtenstein-open-2020,True
4,4,Challenger Tour 5,Austrian Open (M),"Salzburg, Austria",8 Nov 2020,http://www.squashinfo.com/events/8586-mens-austrian-open-2020,True
5,5,World Tour Platinum,Qatar Classic (M),"Doha, Qatar",7 Nov 2020,http://www.squashinfo.com/events/8566-mens-qatar-classic-2020,True
6,6,Challenger Tour 5,Swiss Open (M),"Uster, Switzerland",1 Nov 2020,http://www.squashinfo.com/events/8581-mens-swiss-open-2020,True
7,7,Challenger Tour 5,QSF No.3 (M),"Doha, Qatar",21 Oct 2020,http://www.squashinfo.com/events/8580-mens-qsf-no3-2020,True
8,8,World Tour Platinum,CIB Egyptian Open (M),"Giza, Egypt",17 Oct 2020,http://www.squashinfo.com/events/8564-mens-egyptian-open-2020,True
9,9,World Tour Finals,CIB PSA World Tour Finals (M),"6th of October City, Egypt",3 Oct 2020,http://www.squashinfo.com/events/8562-mens-world-tour-finals-2020,True
10,10,World Tour Silver,Manchester Open (M),"Manchester, England",22 Sep 2020,http://www.squashinfo.com/events/8560-mens-manchester-open-2020,True
11,11,Challenger Tour 10,Expression Networks Nolan & Liam's Tournament (M),"Prague, Czech Republic",13 Sep 2020,http://www.squashinfo.com/events/8572-mens-expression-networks-nolan-liams-tournament-2020,True
12,12,World Tour Gold,St James's Place Canary Wharf Classic (M),"London, England",13 Mar 2020,http://www.squashinfo.com/events/8389-mens-canary-wharf-classic-2020,True
13,13,Challenger Tour 5,Barfoot & Thompson Auckland Open (M),"Auckland, New Zealand",8 Mar 2020,http://www.squashinfo.com/events/8539-mens-auckland-open-2020,True
14,14,Challenger Tour 10,Qualico Manitoba Open (M),"Winnipeg, Canada",8 Mar 2020,http://www.squashinfo.com/events/8540-mens-manitoba-open-2020,True
15,15,World Tour Platinum,Windy City Open presented by the Walter Family (M),"Chicago, USA",4 Mar 2020,http://www.squashinfo.com/events/8387-mens-windy-city-open-2020,True
16,16,Challenger Tour 5,Hampshire Open (M),"Eastleigh, Southampton, England",1 Mar 2020,http://www.squashinfo.com/events/8535-mens-hampshire-open-2020,True
